date,spy_tlt_ratio,spy_tlt_ma50,spy_tlt_signal,xlf_xlu_ratio,iwm_spy_ratio,copper_gold_ratio
2022-05-02,3.8570748845028975,,Risk-Off,1.0291138447007957,0.4520007083059739,0.0022856911205160076
2022-05-03,3.848809317296728,,Risk-Off,1.0385533261052433,0.4537902394385486,0.0022854236926660486
2022-05-04,3.9442829501413166,,Risk-Off,1.0469661882472237,0.4521313437892838,0.002318425170865746
2022-05-05,3.911256136200568,,Risk-Off,1.026963166002567,0.44977715350914826,0.0022865527467513923
2022-05-06,3.9460540056967215,,Risk-Off,1.0115768807111498,0.4449476975408493,0.002265309372929616
2022-05-09,3.786402702665298,,Risk-Off,0.9948481405077128,0.4403296404338167,0.0022578212777477273
2022-05-10,3.761040226973382,,Risk-Off,0.9981636984042687,0.4394401293298669,0.0022580031265299013
2022-05-11,3.631308498063384,,Risk-Off,0.9818840379643419,0.4354311177496867,0.0022738314535684415
2022-05-12,3.634296173998185,,Risk-Off,0.9844523212440762,0.44099631887155233,0.002250794993514304
2022-05-13,3.777010788144721,,Risk-Off,0.987004666805879,0.44434879281595735,0.0023129910224898033
2022-05-16,3.7655823454282413,,Risk-Off,0.975757302061713,0.4440293834161196,0.0023140335398532815
2022-05-17,3.8900474935653877,,Risk-Off,0.9916336357358408,0.44838584894135025,0.0023317017707782384
2022-05-18,3.655312365415341,,Risk-Off,0.9737464544543277,0.45084802478836006,0.002302990310034658
2022-05-19,3.624243141649883,,Risk-Off,0.9693221187107699,0.45437288419451755,0.0023272865310933885
2022-05-20,3.585133047367796,,Risk-Off,0.9648615213087463,0.4530167537170086,0.002324356620607626
2022-05-23,3.713312594009226,,Risk-Off,0.9844211127269623,0.4500759210537724,0.0023527977771021784
2022-05-24,3.613660349594323,,Risk-Off,0.9631571853279791,0.4468193583682401,0.0023191786328157545
2022-05-25,3.6312277499992467,,Risk-Off,0.9714796310014663,0.45087801400862915,0.002316650451482306
2022-05-26,3.7206206412712497,,Risk-Off,0.9911145423627697,0.45191362937699425,0.0023032370132129183
2022-05-27,3.80267602854509,,Risk-Off,0.9923201399956024,0.4529622022191345,0.0023248526912438144
2022-05-31,3.8630906728104333,,Risk-Off,1.003375885257214,0.4498617209443213,0.002330819010204302
2022-06-01,3.836228694469765,,Risk-Off,0.9888481629615378,0.450960397152927,0.002349047799602048
2022-06-02,3.907267488094411,,Risk-Off,0.9957391055765263,0.453340557081351,0.0024398606487103514
2022-06-03,3.8514231532687813,,Risk-Off,0.9861370861412079,0.456753741445863,0.002426303187719253
2022-06-06,3.9357368832114776,,Risk-Off,0.9845953343786966,0.45733906658105433,0.0024138212118877053
2022-06-07,3.9310358355342196,,Risk-Off,0.9862546870673969,0.46029977575883885,0.0024029769174784867
2022-06-08,3.9230593274905523,,Risk-Off,0.9882385794535625,0.45816792427994124,0.0024075273231112604
2022-06-09,3.8170445287671835,,Risk-Off,0.9871239540154993,0.45960079457481723,0.002373972210649195
2022-06-10,3.729496585296504,,Risk-Off,0.9587766124187678,0.4604843984999008,0.002298156622097577
2022-06-13,3.7041259487607636,,Risk-Off,0.9750154102419594,0.4561712749563277,0.002306619149589956
2022-06-14,3.740140388391904,,Risk-Off,0.9917370413324064,0.45534564997707844,0.0022998065637534217
2022-06-15,3.723985253022757,,Risk-Off,0.9963721993356436,0.455518566125721,0.00229576373435556
2022-06-16,3.5723742698928063,,Risk-Off,0.9903122198339704,0.44929008460563424,0.00222788107348928
2022-06-17,3.5685753877474045,,Risk-Off,1.0025417574916329,0.45182494287288344,0.002188657647167182
2022-06-21,3.7214962221410905,,Risk-Off,1.0034489603847059,0.4486280363637047,0.0022037502861958678
2022-06-22,3.6153262457377595,,Risk-Off,0.9907860651392889,0.4485875106974365,0.002154227680192959
2022-06-23,3.621020099514909,,Risk-Off,0.9642891147202706,0.44955353807543375,0.0020586625402326565
2022-06-24,3.788590492870516,,Risk-Off,0.9827467436603683,0.44919540773418687,0.002058581982186289
2022-06-27,3.806584547716141,,Risk-Off,0.9715204675792772,0.4525918264753632,0.002075347351969553
2022-06-28,3.7115104851826675,,Risk-Off,0.965482888349745,0.45335658238884047,0.00208198069870226
2022-06-29,3.6514953023056043,,Risk-Off,0.9593447518347665,0.44912143812556404,0.0020835861198691195
2022-06-30,3.590299888726918,,Risk-Off,0.9404389384718786,0.44927197294034377,0.002058921346197866
2022-07-01,3.591401870202061,,Risk-Off,0.9304762289730385,0.44995109950308226,0.002011784929080264
2022-07-05,3.570131627499094,,Risk-Off,0.9600005653241198,0.4528235636190953,0.0019440344292159881
2022-07-06,3.6433656886499395,,Risk-Off,0.9477508135285749,0.447957017100409,0.0019701423336991666
2022-07-07,3.7307645173526383,,Risk-Off,0.9624685031662008,0.45179200004346826,0.0020611082149986264
2022-07-08,3.769445385889658,,Risk-Off,0.9635366415745144,0.4521123732872234,0.0020291854041080736
2022-07-11,3.663214802214357,,Risk-Off,0.9497422123584205,0.4481426476106241,0.001986994219653179
2022-07-12,3.60935340444658,,Risk-Off,0.9483619827275922,0.4505933114771523,0.0019128995962233927
2022-07-13,3.5496966734452657,3.736732662223663,Risk-Off,0.9438789719206431,0.45257588825795375,0.0019175989534522277
2022-07-14,3.5702033856385484,3.7309952322463755,Risk-Off,0.9258084735973844,0.4490169440164368,0.0018835435622806386
2022-07-15,3.618048911355717,3.726380024127556,Risk-Off,0.9553467955478815,0.44977186586218254,0.0018999646880577964
2022-07-18,3.6259524828872864,3.7200134147824753,Risk-Off,0.965160050569899,0.45223270277573735,0.0019588112246876573
2022-07-19,3.744121086206952,3.716670713782603,Risk-On,0.9878028637991876,0.4558717880393325,0.0019248538547092014
2022-07-20,3.758119733032333,3.712912028329315,Risk-On,1.0047904343477152,0.4600831683807646,0.0019591055957314967
2022-07-21,3.7319170232914973,3.711822314741839,Risk-On,1.0085797621418198,0.4577790876115511,0.0019279501021279592
2022-07-22,3.6361643720954357,3.70932479764428,Risk-Off,0.9891857548765806,0.45469517453330244,0.001938799178209371
2022-07-25,3.6765570993024976,3.7102297696690623,Risk-Off,0.983208353712962,0.4564961532557918,0.0019493892208097146
2022-07-26,3.6302756465564032,3.710149359120227,Risk-Off,0.9637290549416768,0.45911990236375627,0.0019692030211301676
2022-07-27,3.7455826721349132,3.7095207968000308,Risk-On,0.9777257589767826,0.45768122691311103,0.0019949393006232323
2022-07-28,3.762609625005165,3.7094613423915694,Risk-On,0.950719124030407,0.4582222015775215,0.0019853738260243886
2022-07-29,3.8278648155353876,3.708217688830969,Risk-On,0.9559481098848956,0.4548443874975214,0.0020330138187033267
2022-08-01,3.7267751251389436,3.709646944025441,Risk-On,0.9469836179194685,0.456024699645004,0.002007914101625985
2022-08-02,3.7822193588563713,3.7128064683695707,Risk-On,0.9384038805266758,0.45861188107622813,0.0019900061779530302
2022-08-03,3.781901422974412,3.7167418358817033,Risk-On,0.9467016867679078,0.4581812971084354,0.0019735495249430337
2022-08-04,3.780613993233199,3.7180878638661827,Risk-On,0.9415720253632196,0.45752448663600886,0.001947442012890311
2022-08-05,3.86625397565702,3.7231397363874366,Risk-On,0.9517772258238039,0.46180866789066716,0.002004061100101442
2022-08-08,3.800421837630454,3.7265236181400603,Risk-On,0.949804775406042,0.4672402246021259,0.0020077792687101716
2022-08-09,3.8001001722394503,3.728113208759425,Risk-On,0.9440599257232292,0.462704675704933,0.0020025083452562824
